cuda
Initialize dataset with 1294392 characters, 107 unique.
embed_dim: 32
[2020-11-30 12:13] Train Step 0499/1000000, Batch Size = 64,                     Examples/Sec = 5438.65, Accuracy = 0.57, Loss = 1.450
[2020-11-30 12:16] Train Step 9499/1000000, Batch Size = 64,                     Examples/Sec = 4555.70, Accuracy = 0.70, Loss = 1.002
[2020-11-30 12:16] Train Step 9999/1000000, Batch Size = 64,                     Examples/Sec = 5186.06, Accuracy = 0.66, Loss = 1.080
[2020-11-30 12:16] Train Step 10499/1000000, Batch Size = 64,                     Examples/Sec = 3685.17, Accuracy = 0.66, Loss = 1.073
[2020-11-30 12:17] Train Step 10999/1000000, Batch Size = 64,                     Examples/Sec = 5479.39, Accuracy = 0.68, Loss = 1.033
[2020-11-30 12:17] Train Step 11499/1000000, Batch Size = 64,                     Examples/Sec = 5453.79, Accuracy = 0.68, Loss = 1.025
[2020-11-30 12:17] Train Step 11999/1000000, Batch Size = 64,                     Examples/Sec = 6205.02, Accuracy = 0.70, Loss = 0.950
[2020-11-30 12:17] Train Step 12499/1000000, Batch Size = 64,                     Examples/Sec = 5601.98, Accuracy = 0.66, Loss = 1.138
[2020-11-30 12:17] Train Step 12999/1000000, Batch Size = 64,                     Examples/Sec = 5294.48, Accuracy = 0.70, Loss = 0.983
[2020-11-30 12:18] Train Step 13499/1000000, Batch Size = 64,                     Examples/Sec = 5402.42, Accuracy = 0.64, Loss = 1.121
[2020-11-30 12:18] Train Step 13999/1000000, Batch Size = 64,                     Examples/Sec = 5165.70, Accuracy = 0.68, Loss = 1.019
[2020-11-30 12:18] Train Step 14499/1000000, Batch Size = 64,                     Examples/Sec = 5141.46, Accuracy = 0.69, Loss = 1.014
[2020-11-30 12:18] Train Step 14999/1000000, Batch Size = 64,                     Examples/Sec = 4973.61, Accuracy = 0.68, Loss = 1.016
[2020-11-30 12:18] Train Step 15499/1000000, Batch Size = 64,                     Examples/Sec = 4698.92, Accuracy = 0.69, Loss = 1.014
[2020-11-30 12:19] Train Step 15999/1000000, Batch Size = 64,                     Examples/Sec = 5166.69, Accuracy = 0.67, Loss = 1.055
[2020-11-30 12:19] Train Step 16499/1000000, Batch Size = 64,                     Examples/Sec = 4870.73, Accuracy = 0.69, Loss = 0.982
[2020-11-30 12:19] Train Step 16999/1000000, Batch Size = 64,                     Examples/Sec = 5021.05, Accuracy = 0.68, Loss = 1.052
[2020-11-30 12:19] Train Step 17499/1000000, Batch Size = 64,                     Examples/Sec = 4999.82, Accuracy = 0.68, Loss = 1.036
[2020-11-30 12:19] Train Step 17999/1000000, Batch Size = 64,                     Examples/Sec = 5095.20, Accuracy = 0.68, Loss = 1.026
[2020-11-30 12:20] Train Step 18499/1000000, Batch Size = 64,                     Examples/Sec = 5132.31, Accuracy = 0.69, Loss = 0.982
[2020-11-30 12:20] Train Step 18999/1000000, Batch Size = 64,                     Examples/Sec = 4861.38, Accuracy = 0.70, Loss = 0.966
[2020-11-30 12:20] Train Step 19499/1000000, Batch Size = 64,                     Examples/Sec = 4212.60, Accuracy = 0.70, Loss = 1.001
[2020-11-30 12:20] Train Step 19999/1000000, Batch Size = 64,                     Examples/Sec = 5177.45, Accuracy = 0.70, Loss = 0.980
Done training.
Final loss: 1.036302924156189
Final acc: 0.6776041666666667
