cuda
Initialize dataset with 5597742 characters, 113 unique.
embed_dim: 32
[2020-11-29 18:23] Train Step 0049/1000000, Batch Size = 64,                     Examples/Sec = 5456.67, Accuracy = 0.29, Loss = 2.759
[2020-11-29 18:23] Train Step 0999/1000000, Batch Size = 64,                     Examples/Sec = 5173.06, Accuracy = 0.51, Loss = 1.655
[2020-11-29 18:23] Train Step 1049/1000000, Batch Size = 64,                     Examples/Sec = 5569.08, Accuracy = 0.51, Loss = 1.657
[2020-11-29 18:23] Train Step 1099/1000000, Batch Size = 64,                     Examples/Sec = 6006.07, Accuracy = 0.51, Loss = 1.703
[2020-11-29 18:23] Train Step 1149/1000000, Batch Size = 64,                     Examples/Sec = 6086.70, Accuracy = 0.50, Loss = 1.703
[2020-11-29 18:23] Train Step 1199/1000000, Batch Size = 64,                     Examples/Sec = 5913.98, Accuracy = 0.50, Loss = 1.685
[2020-11-29 18:23] Train Step 1249/1000000, Batch Size = 64,                     Examples/Sec = 5875.92, Accuracy = 0.51, Loss = 1.651
[2020-11-29 18:23] Train Step 1299/1000000, Batch Size = 64,                     Examples/Sec = 5111.79, Accuracy = 0.50, Loss = 1.683
[2020-11-29 18:23] Train Step 1349/1000000, Batch Size = 64,                     Examples/Sec = 5299.08, Accuracy = 0.50, Loss = 1.670
[2020-11-29 18:23] Train Step 1399/1000000, Batch Size = 64,                     Examples/Sec = 5195.39, Accuracy = 0.53, Loss = 1.641
[2020-11-29 18:23] Train Step 1449/1000000, Batch Size = 64,                     Examples/Sec = 5453.57, Accuracy = 0.52, Loss = 1.654
[2020-11-29 18:23] Train Step 1499/1000000, Batch Size = 64,                     Examples/Sec = 5725.04, Accuracy = 0.52, Loss = 1.627
[2020-11-29 18:23] Train Step 1549/1000000, Batch Size = 64,                     Examples/Sec = 5541.72, Accuracy = 0.53, Loss = 1.606
[2020-11-29 18:23] Train Step 1599/1000000, Batch Size = 64,                     Examples/Sec = 5326.52, Accuracy = 0.51, Loss = 1.625
[2020-11-29 18:23] Train Step 1649/1000000, Batch Size = 64,                     Examples/Sec = 5396.34, Accuracy = 0.54, Loss = 1.537
[2020-11-29 18:23] Train Step 1699/1000000, Batch Size = 64,                     Examples/Sec = 5308.62, Accuracy = 0.51, Loss = 1.620
[2020-11-29 18:23] Train Step 1749/1000000, Batch Size = 64,                     Examples/Sec = 5312.29, Accuracy = 0.51, Loss = 1.634
[2020-11-29 18:23] Train Step 1799/1000000, Batch Size = 64,                     Examples/Sec = 5770.20, Accuracy = 0.53, Loss = 1.558
[2020-11-29 18:23] Train Step 1849/1000000, Batch Size = 64,                     Examples/Sec = 6012.53, Accuracy = 0.50, Loss = 1.682
[2020-11-29 18:23] Train Step 1899/1000000, Batch Size = 64,                     Examples/Sec = 5775.91, Accuracy = 0.52, Loss = 1.652
[2020-11-29 18:23] Train Step 1949/1000000, Batch Size = 64,                     Examples/Sec = 5164.60, Accuracy = 0.52, Loss = 1.629
[2020-11-29 18:24] Train Step 1999/1000000, Batch Size = 64,                     Examples/Sec = 5141.65, Accuracy = 0.54, Loss = 1.585
[2020-11-29 18:24] Train Step 2049/1000000, Batch Size = 64,                     Examples/Sec = 5624.39, Accuracy = 0.52, Loss = 1.576
[2020-11-29 18:24] Train Step 2099/1000000, Batch Size = 64,                     Examples/Sec = 5538.63, Accuracy = 0.52, Loss = 1.616
[2020-11-29 18:24] Train Step 2149/1000000, Batch Size = 64,                     Examples/Sec = 5414.41, Accuracy = 0.55, Loss = 1.537
[2020-11-29 18:24] Train Step 2199/1000000, Batch Size = 64,                     Examples/Sec = 5735.07, Accuracy = 0.50, Loss = 1.687
[2020-11-29 18:24] Train Step 2249/1000000, Batch Size = 64,                     Examples/Sec = 5208.19, Accuracy = 0.52, Loss = 1.603
[2020-11-29 18:24] Train Step 2299/1000000, Batch Size = 64,                     Examples/Sec = 4424.66, Accuracy = 0.53, Loss = 1.542
[2020-11-29 18:24] Train Step 2349/1000000, Batch Size = 64,                     Examples/Sec = 5629.82, Accuracy = 0.55, Loss = 1.540
[2020-11-29 18:24] Train Step 2399/1000000, Batch Size = 64,                     Examples/Sec = 5488.36, Accuracy = 0.51, Loss = 1.582
[2020-11-29 18:24] Train Step 2449/1000000, Batch Size = 64,                     Examples/Sec = 5117.54, Accuracy = 0.53, Loss = 1.603
[2020-11-29 18:24] Train Step 2499/1000000, Batch Size = 64,                     Examples/Sec = 5527.69, Accuracy = 0.53, Loss = 1.592
[2020-11-29 18:24] Train Step 2549/1000000, Batch Size = 64,                     Examples/Sec = 5806.14, Accuracy = 0.53, Loss = 1.571
[2020-11-29 18:24] Train Step 2599/1000000, Batch Size = 64,                     Examples/Sec = 5973.60, Accuracy = 0.54, Loss = 1.551
[2020-11-29 18:24] Train Step 2649/1000000, Batch Size = 64,                     Examples/Sec = 5577.76, Accuracy = 0.54, Loss = 1.541
[2020-11-29 18:24] Train Step 2699/1000000, Batch Size = 64,                     Examples/Sec = 5234.39, Accuracy = 0.54, Loss = 1.518
[2020-11-29 18:24] Train Step 2749/1000000, Batch Size = 64,                     Examples/Sec = 5279.49, Accuracy = 0.52, Loss = 1.572
[2020-11-29 18:24] Train Step 2799/1000000, Batch Size = 64,                     Examples/Sec = 5558.94, Accuracy = 0.53, Loss = 1.611
[2020-11-29 18:24] Train Step 2849/1000000, Batch Size = 64,                     Examples/Sec = 5938.57, Accuracy = 0.54, Loss = 1.556
[2020-11-29 18:24] Train Step 2899/1000000, Batch Size = 64,                     Examples/Sec = 6007.82, Accuracy = 0.54, Loss = 1.508
[2020-11-29 18:24] Train Step 2949/1000000, Batch Size = 64,                     Examples/Sec = 5805.39, Accuracy = 0.54, Loss = 1.541
[2020-11-29 18:24] Train Step 2999/1000000, Batch Size = 64,                     Examples/Sec = 5228.89, Accuracy = 0.54, Loss = 1.546
[2020-11-29 18:24] Train Step 3049/1000000, Batch Size = 64,                     Examples/Sec = 5059.47, Accuracy = 0.55, Loss = 1.518
[2020-11-29 18:24] Train Step 3099/1000000, Batch Size = 64,                     Examples/Sec = 5264.27, Accuracy = 0.53, Loss = 1.549
[2020-11-29 18:24] Train Step 3149/1000000, Batch Size = 64,                     Examples/Sec = 5920.63, Accuracy = 0.53, Loss = 1.584
[2020-11-29 18:24] Train Step 3199/1000000, Batch Size = 64,                     Examples/Sec = 5469.46, Accuracy = 0.53, Loss = 1.557
[2020-11-29 18:24] Train Step 3249/1000000, Batch Size = 64,                     Examples/Sec = 6086.14, Accuracy = 0.56, Loss = 1.478
[2020-11-29 18:24] Train Step 3299/1000000, Batch Size = 64,                     Examples/Sec = 5784.25, Accuracy = 0.57, Loss = 1.469
[2020-11-29 18:24] Train Step 3349/1000000, Batch Size = 64,                     Examples/Sec = 5310.09, Accuracy = 0.54, Loss = 1.505
[2020-11-29 18:24] Train Step 3399/1000000, Batch Size = 64,                     Examples/Sec = 5242.06, Accuracy = 0.54, Loss = 1.559
[2020-11-29 18:24] Train Step 3449/1000000, Batch Size = 64,                     Examples/Sec = 5302.01, Accuracy = 0.54, Loss = 1.586
[2020-11-29 18:24] Train Step 3499/1000000, Batch Size = 64,                     Examples/Sec = 5252.42, Accuracy = 0.55, Loss = 1.460
[2020-11-29 18:24] Train Step 3549/1000000, Batch Size = 64,                     Examples/Sec = 6018.73, Accuracy = 0.52, Loss = 1.645
[2020-11-29 18:24] Train Step 3599/1000000, Batch Size = 64,                     Examples/Sec = 5415.39, Accuracy = 0.56, Loss = 1.483
[2020-11-29 18:24] Train Step 3649/1000000, Batch Size = 64,                     Examples/Sec = 5932.01, Accuracy = 0.56, Loss = 1.535
[2020-11-29 18:24] Train Step 3699/1000000, Batch Size = 64,                     Examples/Sec = 5689.24, Accuracy = 0.55, Loss = 1.529
[2020-11-29 18:24] Train Step 3749/1000000, Batch Size = 64,                     Examples/Sec = 5909.81, Accuracy = 0.57, Loss = 1.464
[2020-11-29 18:24] Train Step 3799/1000000, Batch Size = 64,                     Examples/Sec = 5566.89, Accuracy = 0.55, Loss = 1.495
[2020-11-29 18:24] Train Step 3849/1000000, Batch Size = 64,                     Examples/Sec = 5064.34, Accuracy = 0.55, Loss = 1.502
[2020-11-29 18:24] Train Step 3899/1000000, Batch Size = 64,                     Examples/Sec = 5064.63, Accuracy = 0.54, Loss = 1.567
[2020-11-29 18:24] Train Step 3949/1000000, Batch Size = 64,                     Examples/Sec = 5809.79, Accuracy = 0.54, Loss = 1.549
[2020-11-29 18:24] Train Step 3999/1000000, Batch Size = 64,                     Examples/Sec = 6062.23, Accuracy = 0.56, Loss = 1.470
[2020-11-29 18:24] Train Step 4049/1000000, Batch Size = 64,                     Examples/Sec = 5084.39, Accuracy = 0.55, Loss = 1.475
[2020-11-29 18:24] Train Step 4099/1000000, Batch Size = 64,                     Examples/Sec = 5862.57, Accuracy = 0.56, Loss = 1.478
[2020-11-29 18:24] Train Step 4149/1000000, Batch Size = 64,                     Examples/Sec = 5745.38, Accuracy = 0.56, Loss = 1.516
[2020-11-29 18:24] Train Step 4199/1000000, Batch Size = 64,                     Examples/Sec = 5644.86, Accuracy = 0.53, Loss = 1.515
[2020-11-29 18:24] Train Step 4249/1000000, Batch Size = 64,                     Examples/Sec = 5520.41, Accuracy = 0.56, Loss = 1.457
[2020-11-29 18:24] Train Step 4299/1000000, Batch Size = 64,                     Examples/Sec = 5316.29, Accuracy = 0.53, Loss = 1.522
[2020-11-29 18:24] Train Step 4349/1000000, Batch Size = 64,                     Examples/Sec = 5047.96, Accuracy = 0.56, Loss = 1.471
[2020-11-29 18:24] Train Step 4399/1000000, Batch Size = 64,                     Examples/Sec = 5843.17, Accuracy = 0.56, Loss = 1.501
[2020-11-29 18:24] Train Step 4449/1000000, Batch Size = 64,                     Examples/Sec = 5985.85, Accuracy = 0.52, Loss = 1.602
[2020-11-29 18:24] Train Step 4499/1000000, Batch Size = 64,                     Examples/Sec = 5401.55, Accuracy = 0.53, Loss = 1.561
[2020-11-29 18:24] Train Step 4549/1000000, Batch Size = 64,                     Examples/Sec = 5385.08, Accuracy = 0.54, Loss = 1.574
[2020-11-29 18:24] Train Step 4599/1000000, Batch Size = 64,                     Examples/Sec = 5365.17, Accuracy = 0.53, Loss = 1.550
[2020-11-29 18:24] Train Step 4649/1000000, Batch Size = 64,                     Examples/Sec = 5710.18, Accuracy = 0.55, Loss = 1.472
[2020-11-29 18:24] Train Step 4699/1000000, Batch Size = 64,                     Examples/Sec = 5401.99, Accuracy = 0.54, Loss = 1.516
[2020-11-29 18:24] Train Step 4749/1000000, Batch Size = 64,                     Examples/Sec = 5389.51, Accuracy = 0.56, Loss = 1.471
[2020-11-29 18:24] Train Step 4799/1000000, Batch Size = 64,                     Examples/Sec = 5257.77, Accuracy = 0.54, Loss = 1.538
[2020-11-29 18:24] Train Step 4849/1000000, Batch Size = 64,                     Examples/Sec = 5876.56, Accuracy = 0.54, Loss = 1.494
[2020-11-29 18:24] Train Step 4899/1000000, Batch Size = 64,                     Examples/Sec = 5865.65, Accuracy = 0.54, Loss = 1.507
[2020-11-29 18:24] Train Step 4949/1000000, Batch Size = 64,                     Examples/Sec = 5786.37, Accuracy = 0.56, Loss = 1.447
[2020-11-29 18:24] Train Step 4999/1000000, Batch Size = 64,                     Examples/Sec = 5537.61, Accuracy = 0.56, Loss = 1.482
[2020-11-29 18:24] Train Step 5049/1000000, Batch Size = 64,                     Examples/Sec = 5767.47, Accuracy = 0.56, Loss = 1.462
[2020-11-29 18:24] Train Step 5099/1000000, Batch Size = 64,                     Examples/Sec = 5349.45, Accuracy = 0.58, Loss = 1.435
[2020-11-29 18:24] Train Step 5149/1000000, Batch Size = 64,                     Examples/Sec = 5388.32, Accuracy = 0.53, Loss = 1.538
[2020-11-29 18:24] Train Step 5199/1000000, Batch Size = 64,                     Examples/Sec = 5803.13, Accuracy = 0.53, Loss = 1.495
[2020-11-29 18:24] Train Step 5249/1000000, Batch Size = 64,                     Examples/Sec = 5362.60, Accuracy = 0.56, Loss = 1.470
[2020-11-29 18:24] Train Step 5299/1000000, Batch Size = 64,                     Examples/Sec = 6071.69, Accuracy = 0.54, Loss = 1.510
[2020-11-29 18:24] Train Step 5349/1000000, Batch Size = 64,                     Examples/Sec = 5527.00, Accuracy = 0.54, Loss = 1.528
[2020-11-29 18:24] Train Step 5399/1000000, Batch Size = 64,                     Examples/Sec = 5685.75, Accuracy = 0.57, Loss = 1.433
[2020-11-29 18:24] Train Step 5449/1000000, Batch Size = 64,                     Examples/Sec = 5359.06, Accuracy = 0.55, Loss = 1.495
[2020-11-29 18:24] Train Step 5499/1000000, Batch Size = 64,                     Examples/Sec = 5085.83, Accuracy = 0.54, Loss = 1.543
[2020-11-29 18:24] Train Step 5549/1000000, Batch Size = 64,                     Examples/Sec = 5134.18, Accuracy = 0.55, Loss = 1.494
[2020-11-29 18:24] Train Step 5599/1000000, Batch Size = 64,                     Examples/Sec = 5330.54, Accuracy = 0.54, Loss = 1.520
[2020-11-29 18:24] Train Step 5649/1000000, Batch Size = 64,                     Examples/Sec = 5337.75, Accuracy = 0.55, Loss = 1.532
[2020-11-29 18:24] Train Step 5699/1000000, Batch Size = 64,                     Examples/Sec = 5450.80, Accuracy = 0.57, Loss = 1.425
[2020-11-29 18:24] Train Step 5749/1000000, Batch Size = 64,                     Examples/Sec = 5098.88, Accuracy = 0.53, Loss = 1.558
[2020-11-29 18:24] Train Step 5799/1000000, Batch Size = 64,                     Examples/Sec = 5572.09, Accuracy = 0.53, Loss = 1.538
[2020-11-29 18:24] Train Step 5849/1000000, Batch Size = 64,                     Examples/Sec = 5184.25, Accuracy = 0.56, Loss = 1.461
[2020-11-29 18:24] Train Step 5899/1000000, Batch Size = 64,                     Examples/Sec = 5301.80, Accuracy = 0.55, Loss = 1.498
[2020-11-29 18:24] Train Step 5949/1000000, Batch Size = 64,                     Examples/Sec = 5535.89, Accuracy = 0.55, Loss = 1.508
[2020-11-29 18:24] Train Step 5999/1000000, Batch Size = 64,                     Examples/Sec = 5339.77, Accuracy = 0.55, Loss = 1.534
[2020-11-29 18:24] Train Step 6049/1000000, Batch Size = 64,                     Examples/Sec = 5237.05, Accuracy = 0.55, Loss = 1.516
[2020-11-29 18:24] Train Step 6099/1000000, Batch Size = 64,                     Examples/Sec = 5364.95, Accuracy = 0.55, Loss = 1.505
[2020-11-29 18:24] Train Step 6149/1000000, Batch Size = 64,                     Examples/Sec = 5262.41, Accuracy = 0.56, Loss = 1.457
[2020-11-29 18:24] Train Step 6199/1000000, Batch Size = 64,                     Examples/Sec = 5221.87, Accuracy = 0.54, Loss = 1.497
[2020-11-29 18:24] Train Step 6249/1000000, Batch Size = 64,                     Examples/Sec = 5513.38, Accuracy = 0.57, Loss = 1.439
[2020-11-29 18:25] Train Step 6299/1000000, Batch Size = 64,                     Examples/Sec = 5714.07, Accuracy = 0.55, Loss = 1.465
[2020-11-29 18:25] Train Step 6349/1000000, Batch Size = 64,                     Examples/Sec = 5297.93, Accuracy = 0.57, Loss = 1.422
[2020-11-29 18:25] Train Step 6399/1000000, Batch Size = 64,                     Examples/Sec = 5476.37, Accuracy = 0.53, Loss = 1.480
[2020-11-29 18:25] Train Step 6449/1000000, Batch Size = 64,                     Examples/Sec = 5788.86, Accuracy = 0.55, Loss = 1.476
[2020-11-29 18:25] Train Step 6499/1000000, Batch Size = 64,                     Examples/Sec = 5075.07, Accuracy = 0.54, Loss = 1.507
[2020-11-29 18:25] Train Step 6549/1000000, Batch Size = 64,                     Examples/Sec = 5140.87, Accuracy = 0.55, Loss = 1.473
[2020-11-29 18:25] Train Step 6599/1000000, Batch Size = 64,                     Examples/Sec = 5364.85, Accuracy = 0.56, Loss = 1.481
[2020-11-29 18:25] Train Step 6649/1000000, Batch Size = 64,                     Examples/Sec = 5456.89, Accuracy = 0.57, Loss = 1.439
[2020-11-29 18:25] Train Step 6699/1000000, Batch Size = 64,                     Examples/Sec = 5782.38, Accuracy = 0.55, Loss = 1.519
[2020-11-29 18:25] Train Step 6749/1000000, Batch Size = 64,                     Examples/Sec = 4998.80, Accuracy = 0.55, Loss = 1.474
[2020-11-29 18:25] Train Step 6799/1000000, Batch Size = 64,                     Examples/Sec = 5429.85, Accuracy = 0.55, Loss = 1.511
[2020-11-29 18:25] Train Step 6849/1000000, Batch Size = 64,                     Examples/Sec = 5509.65, Accuracy = 0.56, Loss = 1.475
[2020-11-29 18:25] Train Step 6899/1000000, Batch Size = 64,                     Examples/Sec = 5915.80, Accuracy = 0.55, Loss = 1.477
[2020-11-29 18:25] Train Step 6949/1000000, Batch Size = 64,                     Examples/Sec = 5283.95, Accuracy = 0.56, Loss = 1.473
[2020-11-29 18:25] Train Step 6999/1000000, Batch Size = 64,                     Examples/Sec = 5486.11, Accuracy = 0.55, Loss = 1.497
[2020-11-29 18:25] Train Step 7049/1000000, Batch Size = 64,                     Examples/Sec = 5436.78, Accuracy = 0.55, Loss = 1.489
[2020-11-29 18:25] Train Step 7099/1000000, Batch Size = 64,                     Examples/Sec = 6018.06, Accuracy = 0.54, Loss = 1.473
[2020-11-29 18:25] Train Step 7149/1000000, Batch Size = 64,                     Examples/Sec = 5477.49, Accuracy = 0.54, Loss = 1.513
[2020-11-29 18:25] Train Step 7199/1000000, Batch Size = 64,                     Examples/Sec = 5921.15, Accuracy = 0.56, Loss = 1.468
[2020-11-29 18:25] Train Step 7249/1000000, Batch Size = 64,                     Examples/Sec = 5799.25, Accuracy = 0.58, Loss = 1.388
[2020-11-29 18:25] Train Step 7299/1000000, Batch Size = 64,                     Examples/Sec = 5480.96, Accuracy = 0.54, Loss = 1.471
[2020-11-29 18:25] Train Step 7349/1000000, Batch Size = 64,                     Examples/Sec = 5479.06, Accuracy = 0.55, Loss = 1.499
[2020-11-29 18:25] Train Step 7399/1000000, Batch Size = 64,                     Examples/Sec = 5425.79, Accuracy = 0.56, Loss = 1.465
[2020-11-29 18:25] Train Step 7449/1000000, Batch Size = 64,                     Examples/Sec = 6148.88, Accuracy = 0.55, Loss = 1.512
[2020-11-29 18:25] Train Step 7499/1000000, Batch Size = 64,                     Examples/Sec = 5257.26, Accuracy = 0.56, Loss = 1.502
[2020-11-29 18:25] Train Step 7549/1000000, Batch Size = 64,                     Examples/Sec = 5976.12, Accuracy = 0.56, Loss = 1.465
[2020-11-29 18:25] Train Step 7599/1000000, Batch Size = 64,                     Examples/Sec = 5697.21, Accuracy = 0.56, Loss = 1.462
[2020-11-29 18:25] Train Step 7649/1000000, Batch Size = 64,                     Examples/Sec = 5410.70, Accuracy = 0.56, Loss = 1.515
[2020-11-29 18:25] Train Step 7699/1000000, Batch Size = 64,                     Examples/Sec = 5661.40, Accuracy = 0.56, Loss = 1.477
[2020-11-29 18:25] Train Step 7749/1000000, Batch Size = 64,                     Examples/Sec = 5519.05, Accuracy = 0.56, Loss = 1.479
[2020-11-29 18:25] Train Step 7799/1000000, Batch Size = 64,                     Examples/Sec = 6002.31, Accuracy = 0.56, Loss = 1.463
[2020-11-29 18:25] Train Step 7849/1000000, Batch Size = 64,                     Examples/Sec = 5401.99, Accuracy = 0.56, Loss = 1.463
[2020-11-29 18:25] Train Step 7899/1000000, Batch Size = 64,                     Examples/Sec = 5396.56, Accuracy = 0.54, Loss = 1.518
[2020-11-29 18:25] Train Step 7949/1000000, Batch Size = 64,                     Examples/Sec = 5485.33, Accuracy = 0.57, Loss = 1.423
[2020-11-29 18:25] Train Step 7999/1000000, Batch Size = 64,                     Examples/Sec = 5882.36, Accuracy = 0.55, Loss = 1.484
[2020-11-29 18:25] Train Step 8049/1000000, Batch Size = 64,                     Examples/Sec = 5934.90, Accuracy = 0.55, Loss = 1.495
[2020-11-29 18:25] Train Step 8099/1000000, Batch Size = 64,                     Examples/Sec = 5019.27, Accuracy = 0.56, Loss = 1.448
[2020-11-29 18:25] Train Step 8149/1000000, Batch Size = 64,                     Examples/Sec = 5857.07, Accuracy = 0.55, Loss = 1.495
[2020-11-29 18:25] Train Step 8199/1000000, Batch Size = 64,                     Examples/Sec = 6029.14, Accuracy = 0.57, Loss = 1.397
[2020-11-29 18:25] Train Step 8249/1000000, Batch Size = 64,                     Examples/Sec = 5537.26, Accuracy = 0.57, Loss = 1.439
[2020-11-29 18:25] Train Step 8299/1000000, Batch Size = 64,                     Examples/Sec = 5375.27, Accuracy = 0.57, Loss = 1.420
[2020-11-29 18:25] Train Step 8349/1000000, Batch Size = 64,                     Examples/Sec = 5324.20, Accuracy = 0.55, Loss = 1.508
[2020-11-29 18:25] Train Step 8399/1000000, Batch Size = 64,                     Examples/Sec = 5523.93, Accuracy = 0.56, Loss = 1.456
[2020-11-29 18:25] Train Step 8449/1000000, Batch Size = 64,                     Examples/Sec = 5568.74, Accuracy = 0.56, Loss = 1.444
[2020-11-29 18:25] Train Step 8499/1000000, Batch Size = 64,                     Examples/Sec = 5579.73, Accuracy = 0.57, Loss = 1.423
[2020-11-29 18:25] Train Step 8549/1000000, Batch Size = 64,                     Examples/Sec = 5187.66, Accuracy = 0.55, Loss = 1.448
[2020-11-29 18:25] Train Step 8599/1000000, Batch Size = 64,                     Examples/Sec = 5920.24, Accuracy = 0.54, Loss = 1.522
[2020-11-29 18:25] Train Step 8649/1000000, Batch Size = 64,                     Examples/Sec = 5542.18, Accuracy = 0.57, Loss = 1.425
[2020-11-29 18:25] Train Step 8699/1000000, Batch Size = 64,                     Examples/Sec = 6539.23, Accuracy = 0.54, Loss = 1.462
[2020-11-29 18:25] Train Step 8749/1000000, Batch Size = 64,                     Examples/Sec = 5455.67, Accuracy = 0.56, Loss = 1.457
[2020-11-29 18:25] Train Step 8799/1000000, Batch Size = 64,                     Examples/Sec = 5739.72, Accuracy = 0.57, Loss = 1.424
[2020-11-29 18:25] Train Step 8849/1000000, Batch Size = 64,                     Examples/Sec = 5027.45, Accuracy = 0.58, Loss = 1.427
[2020-11-29 18:25] Train Step 8899/1000000, Batch Size = 64,                     Examples/Sec = 5708.60, Accuracy = 0.56, Loss = 1.509
[2020-11-29 18:25] Train Step 8949/1000000, Batch Size = 64,                     Examples/Sec = 4385.70, Accuracy = 0.57, Loss = 1.405
[2020-11-29 18:25] Train Step 8999/1000000, Batch Size = 64,                     Examples/Sec = 5335.10, Accuracy = 0.57, Loss = 1.431
[2020-11-29 18:25] Train Step 9049/1000000, Batch Size = 64,                     Examples/Sec = 5969.21, Accuracy = 0.57, Loss = 1.425
[2020-11-29 18:25] Train Step 9099/1000000, Batch Size = 64,                     Examples/Sec = 5382.38, Accuracy = 0.58, Loss = 1.416
[2020-11-29 18:25] Train Step 9149/1000000, Batch Size = 64,                     Examples/Sec = 5570.01, Accuracy = 0.58, Loss = 1.377
[2020-11-29 18:25] Train Step 9199/1000000, Batch Size = 64,                     Examples/Sec = 5304.00, Accuracy = 0.54, Loss = 1.494
[2020-11-29 18:25] Train Step 9249/1000000, Batch Size = 64,                     Examples/Sec = 5217.30, Accuracy = 0.55, Loss = 1.447
[2020-11-29 18:25] Train Step 9299/1000000, Batch Size = 64,                     Examples/Sec = 5475.93, Accuracy = 0.56, Loss = 1.431
[2020-11-29 18:25] Train Step 9349/1000000, Batch Size = 64,                     Examples/Sec = 5834.29, Accuracy = 0.56, Loss = 1.442
[2020-11-29 18:25] Train Step 9399/1000000, Batch Size = 64,                     Examples/Sec = 5348.39, Accuracy = 0.56, Loss = 1.437
[2020-11-29 18:25] Train Step 9449/1000000, Batch Size = 64,                     Examples/Sec = 5120.86, Accuracy = 0.56, Loss = 1.458
[2020-11-29 18:25] Train Step 9499/1000000, Batch Size = 64,                     Examples/Sec = 5954.38, Accuracy = 0.57, Loss = 1.396
[2020-11-29 18:25] Train Step 9549/1000000, Batch Size = 64,                     Examples/Sec = 5651.99, Accuracy = 0.57, Loss = 1.448
[2020-11-29 18:25] Train Step 9599/1000000, Batch Size = 64,                     Examples/Sec = 5146.68, Accuracy = 0.57, Loss = 1.422
[2020-11-29 18:25] Train Step 9649/1000000, Batch Size = 64,                     Examples/Sec = 5403.73, Accuracy = 0.57, Loss = 1.417
[2020-11-29 18:25] Train Step 9699/1000000, Batch Size = 64,                     Examples/Sec = 5326.10, Accuracy = 0.55, Loss = 1.437
[2020-11-29 18:25] Train Step 9749/1000000, Batch Size = 64,                     Examples/Sec = 5361.95, Accuracy = 0.57, Loss = 1.424
[2020-11-29 18:25] Train Step 9799/1000000, Batch Size = 64,                     Examples/Sec = 5774.92, Accuracy = 0.54, Loss = 1.515
[2020-11-29 18:25] Train Step 9849/1000000, Batch Size = 64,                     Examples/Sec = 5192.58, Accuracy = 0.57, Loss = 1.433
[2020-11-29 18:25] Train Step 9899/1000000, Batch Size = 64,                     Examples/Sec = 5981.98, Accuracy = 0.57, Loss = 1.415
[2020-11-29 18:25] Train Step 9949/1000000, Batch Size = 64,                     Examples/Sec = 5738.13, Accuracy = 0.55, Loss = 1.488
[2020-11-29 18:25] Train Step 9999/1000000, Batch Size = 64,                     Examples/Sec = 5730.78, Accuracy = 0.55, Loss = 1.464
